Food,Measure,Grams,Calories,Proein,Fa,Sa.Fa,Fiber,Carbs,Caegory,Resul,
"Fresh, raw",1 cup,114,65,1,,0,0.8,15,Fruis A-F,,1
Cranberry sauce sweeened,1 cup,277,530,,,0,1.2,142,Fruis A-F,,1
Daes,1 cup,178,505,4,,0,3.6,134,Fruis A-F,Healhy,1
Figs,2,42,120,2,,0,1.9,30,Fruis A-F,,1
"Fresh, raw figs",3 med.,114,90,2,,0,1,22,Fruis A-F,,0
figs Canned wih syrup,3,115,130,1,,0,1,32,Fruis A-F,,0
"Frui cockail, canned",1 cup,256,195,1,,0,0.5,50,Fruis A-F,,0
Grapefrui secions,1 cup,250,170,1,,0,0.5,44,Fruis G-P,,0
"Grapefrui, fresh, 5"" diameer",1/2,285,50,1,,,1,14,Fruis G-P,,0
Grapefrui juice,1 cup,250,100,1,,0,1,24,Fruis G-P,,1
Grapes,1 cup,153,70,1,,0,0.8,16,Fruis G-P,Healhy,0
"European, as Musca, okay",1 cup,160,100,1,,0,0.7,26,Fruis G-P,,0
Grape juice,1 cup,250,160,1,,0,,42,Fruis G-P,Healhy,0
Lemon juice,1/2 cup,125,30,,,0,,10,Fruis G-P,Healhy,1
Lemonade concenraefrozen,6-oz. can,220,430,,,0,,112,Fruis G-P,,1
Limeade concenrae frozen,6-oz. can,218,405,,,0,,108,Fruis G-P,,1
Olives large,10,65,72,1,10,9,0.8,3,Fruis G-P,,1
OlivesRipe,10,65,105,1,13,12,1,1,Fruis G-P,,1
"Oranges 3"" diameer",1 med.,180,60,2,,,1,16,Fruis G-P,Healhy,0
Orange juice,8 oz. or,250,112,2,,0,0.2,25,Fruis G-P,,0
Frozen,6-oz. can,210,330,2,,,0.4,78,Fruis G-P,,1
Papaya,1/2 med.,200,75,1,,0,1.8,18,Fruis G-P,Healhy,0
Peaches,1 cup,257,200,1,,0,1,52,Fruis G-P,Healhy,0
"Fresh, raw",1 med.,114,35,1,,0,0.6,10,Fruis G-P,Healhy,0
Pears,1 cup,255,195,1,,0,2,50,Fruis G-P,Healhy,0
"Raw, 3 by 2V",1 med.,182,100,1,1,0,2,25,Fruis G-P,Healhy,0
Persimmons,1 med.,125,75,1,,0,2,20,Fruis G-P,Healhy,1
Pineapple,1 large slice,122,95,,,0,0.4,26,Fruis G-P,Healhy,0
Pineapple Crushed,1 cup,260,205,1,,0,0.7,55,Fruis G-P,Healhy,0
"Raw, diced",1 cup,140,75,1,,0,0.6,19,Fruis G-P,,1
Pineapple juice,1 cup,250,120,1,,0,0.2,32,Fruis G-P,Healhy,0
Plums,1 cup,256,185,1,,0,0.7,50,Fruis G-P,,0
"Raw, 2"" diameer",1,60,30,,,0,0.2,7,Fruis G-P,,1
Prunes,1 cup,270,300,3,1,0,0.8,81,Fruis G-P,,0
Prune juice,1 cup,240,170,1,,0,0.7,45,Fruis G-P,,0
Raisins,1/2 cup,88,230,2,,0,0.7,82,Fruis R-Z,Healhy,1
Raspberries,1/2 cup,100,100,,,0,2,25,Fruis R-Z,Healhy,0
"Raw, red",3/4 cup,100,57,,,0,5,14,Fruis R-Z,,1
Rhubarb sweeened,1 cup,270,385,1,,0,1.9,98,Fruis R-Z,,0
Srawberries,1 cup,227,242,1,,0,1.3,60,Fruis R-Z,Healhy,1
Raw,1 cup,149,54,,,0,1.9,12,Fruis R-Z,,1
angerines,I med.,114,40,1,,0,1,10,Fruis R-Z,,1
Waermelon,1 wedge,925,120,2,1,0,3.6,29,Fruis R-Z,Healhy,0
Biscuis,1,38,130,3,4,3,,18,"Breads, cereals, fasfood,grains",,1
Bran flakes,1 cup,25,117,3,,0,0.1,32,"Breads, cereals, fasfood,grains",,1
"Bread, cracked whea",1 slice,23,60,2,1,1,0.1,12,"Breads, cereals, fasfood,grains",,0
Rye,1 slice,23,55,2,1,1,0.1,12,"Breads, cereals, fasfood,grains",,1
"Whie, 20 slices, or",1-lb. loaf,454,1.225,39,15,12,9,229,"Breads, cereals, fasfood,grains",,0
Whole-whea,1-lb. loaf,454,1.1,48,14,10,67.5,216,"Breads, cereals, fasfood,grains",,1
Whole-whea,1 slice,23,55,2,1,0,0.31,11,"Breads, cereals, fasfood,grains",,1
Corn bread ground meal,1 serving,50,100,3,4,2,0.3,15,"Breads, cereals, fasfood,grains",,0
Cornflakes,1 cup,25,110,2,,0,0.1,25,"Breads, cereals, fasfood,grains",,1
Corn gris cooked,1 cup,242,120,8,,0,0.2,27,"Breads, cereals, fasfood,grains",,1
Corn meal,1 cup,118,360,9,4,2,1.6,74,"Breads, cereals, fasfood,grains",,1
Crackers,2 med.,14,55,1,1,0,,10,"Breads, cereals, fasfood,grains",Unhealhy,0
"Soda, 2 1/2 square",2,11,45,1,1,0,,8,"Breads, cereals, fasfood,grains",Unhealhy,0
Farina,1 cup,238,105,3,,0,8,22,"Breads, cereals, fasfood,grains",,1
Flour,1 cup,110,460,39,22,0,2.9,33,"Breads, cereals, fasfood,grains",,0
Whea (all purpose),1 cup,110,400,12,1,0,0.3,84,"Breads, cereals, fasfood,grains",,1
Whea (whole),1 cup,120,390,13,2,0,2.8,79,"Breads, cereals, fasfood,grains",,1
Macaroni,1 cup,140,155,5,1,0,0.1,32,"Breads, cereals, fasfood,grains",Unhealhy,0
Baked wih cheese,1 cup,220,475,18,25,24,,44,"Breads, cereals, fasfood,grains",Unhealhy,0
Muffins,1,48,135,4,5,4,,19,"Breads, cereals, fasfood,grains",Unhealhy,0
Noodles,1 cup,160,200,7,2,2,0.1,37,"Breads, cereals, fasfood,grains",Unhealhy,0
Oameal,1 cup,236,150,5,3,2,4.6,26,"Breads, cereals, fasfood,grains",,1
"Pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,"Breads, cereals, fasfood,grains",,1
"Whea, pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,"Breads, cereals, fasfood,grains",,0
"Pizza 14"" diam.",1 secion,75,180,8,6,5,,23,"Breads, cereals, fasfood,grains",Unhealhy,0
Popcorn saled,2 cups,28,152,3,7,2,0.5,20,"Breads, cereals, fasfood,grains",Unhealhy,0
Puffed rice,1 cup,14,55,,,0,,12,"Breads, cereals, fasfood,grains",,0
Puffed whea presweeened,1 cup,28,105,1,,0,0.6,26,"Breads, cereals, fasfood,grains",,0
Rice,1 cup,208,748,15,3,0,1.2,154,"Breads, cereals, fasfood,grains",,0
Convered,1 cup,187,677,14,,0,0.4,142,"Breads, cereals, fasfood,grains",,0
Whie,1 cup,191,692,14,,0,0.3,150,"Breads, cereals, fasfood,grains",,0
Rice flakes,1 cup,30,115,2,,0,0.1,26,"Breads, cereals, fasfood,grains",Healhy,1
Rice polish,1/2 cup,50,132,6,6,0,1.2,28,"Breads, cereals, fasfood,grains",,1
Rolls,1 large,50,411,3,12,11,0.1,23,"Breads, cereals, fasfood,grains",Unhealhy,0
of refined flour,1,38,115,3,2,2,,20,"Breads, cereals, fasfood,grains",,0
whole-whea,1,40,102,4,1,0,0.1,20,"Breads, cereals, fasfood,grains",,0
Spaghei wih mea sauce,1 cup,250,285,13,10,6,0.5,35,"Breads, cereals, fasfood,grains",Unhealhy,0
wih omaoes and cheese,1 cup,250,210,6,5,3,0.5,36,"Breads, cereals, fasfood,grains",,1
Spanish rice,1 cup,250,217,4,4,0,1.2,40,"Breads, cereals, fasfood,grains",Healhy,1
Shredded whea biscui,1,28,100,3,1,0,0.7,23,"Breads, cereals, fasfood,grains",,1
Waffles,1,75,240,8,9,1,0.1,30,"Breads, cereals, fasfood,grains",Unhealhy,0
Whea germ,1 cup,68,245,17,7,3,2.5,34,"Breads, cereals, fasfood,grains",,1
Whea-germ cereal oased,1 cup,65,260,20,7,3,2.5,36,"Breads, cereals, fasfood,grains",,0
Whea meal cereal unrefined,3/4 cup,30,103,4,1,0,0.7,25,"Breads, cereals, fasfood,grains",,0
"Whea, cooked",3/4 cup,200,275,12,1,0,4.4,35,"Breads, cereals, fasfood,grains",,0
Bean soups,1 cup,250,190,8,5,4,0.6,30,Soups,Healhy,0
Beef soup,1 cup,250,100,6,4,4,0.5,11,Soups,,0
Bouillon,1 cup,240,24,5,0,0,0,0,Soups,,0
chicken soup,1 cup,250,75,4,2,2,0,10,Soups,Healhy,0
Clam chowder,1 cup,255,85,5,2,8,0.5,12,Soups,,0
Cream soups,1 cup,255,200,7,12,11,1.2,18,Soups,,1
Noodle,1 cup,250,115,6,4,3,0.2,13,Soups,Unhealhy,0
Spli-pea soup,1 cup,250,147,8,3,3,0.5,25,Soups,,0
omao soup,1 cup,245,175,6,7,6,0.5,22,Soups,,0
Vegeable,1 cup,250,80,4,2,2,0,14,Soups,Healhy,1
Apple bey,1 serving,100,150,1,4,0,0.5,29,"Dessers, swees",,0
Bread pudding,3/4 cup,200,374,11,12,11,0.2,56,"Dessers, swees",,1
Cakes,1 slice,40,110,3,,0,0,23,"Dessers, swees",Healhy,1
Chocolae fudge,1 slice,120,420,5,14,12,0.3,70,"Dessers, swees",,1
Cupcake,1,50,160,3,3,2,,31,"Dessers, swees",,0
Frui cake,1 slice,30,105,2,4,3,0.2,17,"Dessers, swees",,1
Gingerbread,1 slice,55,180,2,7,6,,28,"Dessers, swees",,0
"Plain, wih no icing",1 slice,55,180,4,5,4,,31,"Dessers, swees",,0
Sponge cake,1 slice,40,115,3,2,2,0,22,"Dessers, swees",,0
Candy,5,25,104,,3,3,0,19,"Dessers, swees",,1
Chocolae creams,2,30,130,,4,4,0,24,"Dessers, swees",,0
Fudge,2 pieces,90,370,,12,11,0.1,80,"Dessers, swees",,0
Hard candies,1 oz.,28,90,,0,0,0,28,"Dessers, swees",,0
Marshmallows,5,30,98,1,0,0,0,23,"Dessers, swees",,0
Milk chocolae,2-oz. bar,56,290,2,6,6,0.2,44,"Dessers, swees",,0
Chocolae syrup,2 .,40,80,,,,0,22,"Dessers, swees",,0
Doughnus,1,33,135,2,7,4,,17,"Dessers, swees",Unhealhy,0
"Gelain, made wih waer",1 cup,239,155,4,,,0,36,"Dessers, swees",,1
Honey,2 .,42,120,,0,0,0,30,"Jams, Jellies",,0
Ice cream,2 cups,300,250,0,0,12,10,0,"Dessers, swees",,1
Ices,1 cup,150,117,0,0,0,0,48,"Dessers, swees",,1
preserves,1 .,20,55,0,0,0,,14,"Jams, Jellies",,0
Jellies,1 .,20,50,0,0,0,0,13,"Jams, Jellies",,0
Molasses,1 .,20,45,0,0,0,8,11,"Jams, Jellies",,1
Cane Syrup,1 .,20,50,0,0,0,0,13,"Jams, Jellies",,0
"9"" diam. pie",1 slice,135,330,3,13,11,0.1,53,"Dessers, swees",,1
Cherry Pie,1 slice,135,340,3,13,11,0.1,55,"Dessers, swees",,0
Cusard,1 slice,130,265,7,11,10,0,34,"Dessers, swees",Healhy,0
Powdered Cusard,,,,,,,,,,,1
Lemon meringue,1 slice,120,300,4,12,10,0.1,45,"Dessers, swees",,0
Mince,1 slice,135,340,3,9,8,0.7,62,"Dessers, swees",,0
Pumpkin Pie,1 slice,130,265,5,12,11,8,34,"Dessers, swees",,1
Puddings Sugar,1 cup,200,770,0,0,0,0,199,"Dessers, swees",,0
3 easpoons sugar,1 .,12,50,0,0,0,0,12,"Dessers, swees",,1
"Brown, firm-packed, dark sugar",1 cup,220,815,0,,0,0,210,"Jams, Jellies",,1
Syrup,2 .,40,100,0,0,0,0,25,"Jams, Jellies",,1
able blends sugar,2 .,40,110,0,0,0,0,29,"Jams, Jellies",,0
apioca cream pudding,1 cup,250,335,10,10,9,0,42,"Dessers, swees",,1
Almonds,1/2 cup,70,425,13,38,28,1.8,13,Seeds and Nus,healhy,1
roased and saled,1/2 cup,70,439,13,40,31,1.8,13,Seeds and Nus,,0
Brazil nus,1/2 cup,70,457,10,47,31,2,7,Seeds and Nus,,1
Cashews,1/2 cup,70,392,12,32,28,0.9,20,Seeds and Nus,Healhy,1
coconu sweeened,1/2 cup,50,274,1,20,19,2,26,Seeds and Nus,,0
Peanu buer,1/3 cup,50,300,12,25,17,0.9,9,Seeds and Nus,,0
"Peanu buer, naural",1/3 cup,50,284,13,24,10,0.9,8,Seeds and Nus,,0
Peanus,1/3 cup,50,290,13,25,16,1.2,9,Seeds and Nus,Healhy,1
Pecans,1/2 cup,52,343,5,35,25,1.1,7,Seeds and Nus,,0
Sesame seeds,1/2 cup,50,280,9,24,13,3.1,10,Seeds and Nus,,1
Sunflower seeds,1/2 cup,50,280,12,26,7,1.9,10,Seeds and Nus,,1
Walnus,1/2 cup,50,325,7,32,7,1,8,Seeds and Nus,Healhy,1
Beer,2 cups,480,228,,0,0,0,8,"Drinks,Alcohol, Beverages",Unhealhy,1
Gin,1 oz.,28,70,0,0,0,0,,"Drinks,Alcohol, Beverages",Unhealhy,1
Wines,1/2 cup,120,164,,0,0,0,9,"Drinks,Alcohol, Beverages",Unhealhy,0
able (12.2% alcohol),1/2 cup,120,100,,0,0,0,5,"Drinks,Alcohol, Beverages",,0
Carbonaed drinks Arificially sweeened,12 oz.,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages",Unhealhy,0
Club soda,12 oz.,346,0,0,0,0,0,0,"Drinks,Alcohol, Beverages",Unhealhy,1
Cola drinks,12 oz.,346,137,0,0,0,0,38,"Drinks,Alcohol, Beverages",Unhealhy,0
Frui-flavored soda,12 oz.,346,161,0,0,0,0,42,"Drinks,Alcohol, Beverages",Unhealhy,0
Ginger ale,12 oz.,346,105,0,0,0,0,28,"Drinks,Alcohol, Beverages",,0
Roo beer,12 oz.,346,140,0,0,0,0,35,"Drinks,Alcohol, Beverages",,1
Coffee,1 cup,230,3,,0,0,0,1,"Drinks,Alcohol, Beverages",Unhealhy,0
ea,1 cup,230,4,0,,0,0,1,"Drinks,Alcohol, Beverages",,0
